"","Season","League","Team","Playoffs","win_loss_pct","fg","fg2","fg3","ft","pf","age","fg_pct","fga","fg3_pct","fg3a","ft_pct","orb","drb","ast","stl","tov","off_rtg","def_rtg","pace","ts_pct","efg_pct","opp_efg_pct","sos"
"26","2021-22","NBA","Memphis Grizzlies","Yes",0.683,43.5,32,11.5,17,19.8,24,0.461,94.4,0.353,32.7,0.734,14.1,35,26,9.8,13.2,114.6,109,100.3,0.553,0.522,0.523,-0.32
"27","2021-22","NBA","Dallas Mavericks","Yes",0.634,39.3,26.2,13.1,16.4,19.7,26.7,0.461,85.1,0.35,37.4,0.771,9.3,33.8,23.4,6.7,12.5,112.8,109.4,95.4,0.572,0.538,0.521,-0.18
"28","2021-22","NBA","New Orleans Pelicans","Yes",0.439,40.2,29.5,10.6,18.3,19.7,25.6,0.457,88,0.332,32.1,0.789,12,33.2,25,8.3,14.1,112,113,97.2,0.557,0.517,0.547,0.15
"29","2021-22","NBA","San Antonio Spurs","No",0.415,43.2,32,11.3,15.4,18.1,24.5,0.467,92.7,0.352,32,0.754,11,34.3,27.9,7.6,12.7,112.4,112.3,100,0.556,0.527,0.532,-0.1
"30","2021-22","NBA","Houston Rockets","No",0.244,39.4,25.9,13.5,17.5,20.6,24.1,0.456,86.4,0.349,38.7,0.713,9.6,32.4,23.6,7.3,16.5,108.4,116.7,100.9,0.565,0.534,0.554,0.22
"31","2020-21","NBA","Philadelphia 76ers","Yes",0.681,41.4,30.1,11.3,19.6,20.2,27.1,0.476,86.9,0.374,30.1,0.767,10,35,23.7,9.1,14.4,113.2,107.6,99.5,0.579,0.541,0.521,-0.31
"32","2020-21","NBA","Brooklyn Nets","Yes",0.667,43.1,29,14.2,18.1,19,28.2,0.494,87.3,0.392,36.1,0.804,8.9,35.5,26.8,6.7,13.5,118.3,113.8,99.5,0.61,0.575,0.531,-0.27
"33","2020-21","NBA","New York Knicks","Yes",0.569,39.4,27.7,11.8,16.4,20.5,25.6,0.456,86.5,0.392,30,0.784,9.7,35.5,21.4,7,12.9,110.6,108.2,95.9,0.559,0.524,0.509,-0.18
"34","2020-21","NBA","Boston Celtics","Yes",0.5,41.5,27.9,13.6,16.1,20.4,25.1,0.466,88.9,0.374,36.4,0.775,10.6,33.6,23.5,7.7,14.1,114,112.5,98.3,0.574,0.543,0.539,-0.14
"35","2020-21","NBA","Toronto Raptors","No",0.375,39.7,25.3,14.5,17.4,21.2,26.6,0.448,88.7,0.368,39.3,0.815,9.4,32.1,24.1,8.6,13.2,112,112.5,99.2,0.567,0.529,0.543,-0.07
"36","2020-21","NBA","Milwaukee Bucks","Yes",0.639,44.7,30.3,14.4,16.2,17.3,28.1,0.487,91.8,0.389,37.1,0.76,10.3,37.8,25.5,8.1,13.8,117.2,111.4,102.2,0.593,0.566,0.536,-0.32
"37","2020-21","NBA","Indiana Pacers","No",0.472,43.3,30.9,12.3,16.4,20.2,26.5,0.474,91.2,0.364,34,0.792,9,33.7,27.4,8.5,13.5,112.4,112.4,101.6,0.575,0.542,0.531,-0.08
"38","2020-21","NBA","Chicago Bulls","No",0.431,42.2,29.6,12.6,13.8,18.9,25.6,0.476,88.6,0.37,34,0.791,9.6,35.3,26.8,6.7,15.1,111.1,112,99,0.575,0.547,0.538,-0.05
"39","2020-21","NBA","Cleveland Cavaliers","No",0.306,38.6,28.6,10,16.7,18.2,24,0.45,85.8,0.336,29.7,0.743,10.4,32.3,23.8,7.8,15.5,105.8,114.4,97.3,0.543,0.508,0.556,0.25
"40","2020-21","NBA","Detroit Pistons","No",0.278,38.7,27.1,11.6,17.8,20.5,24.5,0.452,85.6,0.351,32.9,0.759,9.6,33.1,24.2,7.4,14.9,108,112.5,97.9,0.556,0.519,0.541,0.09
"41","2020-21","NBA","Atlanta Hawks","Yes",0.569,40.8,28.4,12.4,19.7,19.3,25.4,0.468,87.2,0.373,33.4,0.812,10.6,35.1,24.1,7,13.2,115.7,113.3,97.6,0.581,0.539,0.53,-0.18
