Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,attendance,attendance_per_g
2002/2003,Toronto Raptors,27.6,24,58,24,58,-5.87,-0.23,-6.10,100.5,107.0,-6.5,89.9,.282,.179,.497,.458,13.6,28.2,.203,.489,13.1,70.7,.226,"777,507","18,964"
2002/2003,Denver Nuggets,24.1,17,65,17,65,-8.28,0.87,-7.41,92.2,101.3,-9.1,91.0,.283,.126,.469,.428,17.1,31.3,.198,.477,16.5,73.3,.290,"607,813","14,825"
2002/2003,Cleveland Cavaliers,23.5,17,65,16,66,-9.62,0.04,-9.59,96.5,106.7,-10.2,94.0,.298,.133,.491,.444,16.4,31.0,.223,.484,13.0,73.2,.252,"471,374","11,497"
2003/2004,San Antonio Spurs,27.3,57,25,62,20,7.22,0.29,7.51,102.2,94.1,+8.1,89.2,.322,.177,.511,.473,14.1,29.5,.219,.433,14.8,74.6,.215,"739,706","18,042"
2003/2004,Detroit Pistons,27.4,54,28,59,23,5.84,-0.81,5.04,102.0,95.4,+6.6,87.9,.328,.153,.511,.461,14.7,30.1,.247,.441,15.5,71.8,.202,"872,902","21,290"
2003/2004,Indiana Pacers,27.1,61,21,58,24,5.76,-0.82,4.93,103.8,97.2,+6.6,87.5,.319,.203,.520,.471,14.1,28.5,.243,.459,15.7,73.9,.218,"678,326","16,545"
2003/2004,Minnesota Timberwolves,29.7,58,24,57,25,5.49,0.37,5.86,105.9,99.7,+6.2,89.0,.265,.137,.528,.486,12.4,26.7,.207,.444,12.9,72.5,.215,"723,071","17,636"
2003/2004,Sacramento Kings,29.3,55,27,55,27,5.01,0.40,5.41,110.3,104.9,+5.4,92.8,.305,.223,.554,.507,13.0,26.0,.242,.483,13.7,69.8,.193,"709,997","17,317"
2003/2004,Dallas Mavericks,27.4,52,30,53,29,4.44,0.42,4.86,112.1,107.4,+4.7,93.2,.256,.201,.536,.495,11.1,31.4,.204,.498,13.9,71.6,.214,"825,594","20,136"
2003/2004,Los Angeles Lakers,29.8,56,26,52,30,3.90,0.45,4.35,105.5,101.3,+4.2,92.3,.352,.167,.522,.481,12.8,28.1,.244,.471,14.3,73.3,.222,"777,757","18,970"
