Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs
1991/1992,NBA,Cleveland Cavaliers,57,25,.695,10.0,108.9,103.4,Yes
1991/1992,NBA,Detroit Pistons,48,34,.585,19.0,98.9,96.9,Yes
1991/1992,NBA,Indiana Pacers,40,42,.488,27.0,112.2,110.3,Yes
1991/1992,NBA,Atlanta Hawks,38,44,.463,29.0,106.2,107.7,No
1991/1992,NBA,Milwaukee Bucks,31,51,.378,36.0,105.0,106.7,No
1991/1992,NBA,Charlotte Hornets,31,51,.378,36.0,109.5,113.4,No
1991/1992,NBA,Utah Jazz,55,27,.671,—,108.3,101.9,Yes
1991/1992,NBA,San Antonio Spurs,47,35,.573,8.0,104.0,100.6,Yes
1991/1992,NBA,Houston Rockets,42,40,.512,13.0,102.0,103.7,No
1991/1992,NBA,Denver Nuggets,24,58,.293,31.0,99.7,107.6,No
1991/1992,NBA,Dallas Mavericks,22,60,.268,33.0,97.6,105.3,No
1991/1992,NBA,Minnesota Timberwolves,15,67,.183,40.0,100.5,107.5,No
1991/1992,NBA,Portland Trail Blazers,57,25,.695,—,111.4,104.1,Yes
1991/1992,NBA,Golden State Warriors,55,27,.671,2.0,118.7,114.8,Yes
1991/1992,NBA,Phoenix Suns,53,29,.646,4.0,112.1,106.2,Yes
1991/1992,NBA,Seattle SuperSonics,47,35,.573,10.0,106.5,104.7,Yes
1991/1992,NBA,Los Angeles Clippers,45,37,.549,12.0,102.9,101.9,Yes
1991/1992,NBA,Los Angeles Lakers,43,39,.524,14.0,100.4,101.5,Yes
1991/1992,NBA,Sacramento Kings,29,53,.354,28.0,104.3,110.3,No
1992/1993,NBA,New York Knicks,60,22,.732,—,101.6,95.4,Yes
1992/1993,NBA,Boston Celtics,48,34,.585,12.0,103.7,102.8,Yes
1992/1993,NBA,New Jersey Nets,43,39,.524,17.0,102.8,101.6,Yes
1992/1993,NBA,Orlando Magic,41,41,.500,19.0,105.5,104.2,No
1992/1993,NBA,Miami Heat,36,46,.439,24.0,103.6,104.7,No
1992/1993,NBA,Philadelphia 76ers,26,56,.317,34.0,104.3,110.1,No
1992/1993,NBA,Washington Bullets,22,60,.268,38.0,101.9,108.9,No
1992/1993,NBA,Chicago Bulls,57,25,.695,—,105.2,98.9,Yes
1992/1993,NBA,Cleveland Cavaliers,54,28,.659,3.0,107.7,101.3,Yes
1992/1993,NBA,Charlotte Hornets,44,38,.537,13.0,110.1,110.4,Yes
1992/1993,NBA,Atlanta Hawks,43,39,.524,14.0,107.5,108.4,Yes
1992/1993,NBA,Indiana Pacers,41,41,.500,16.0,107.8,106.1,Yes
1992/1993,NBA,Detroit Pistons,40,42,.488,17.0,100.6,102.0,No
1992/1993,NBA,Milwaukee Bucks,28,54,.341,29.0,102.3,106.1,No
1992/1993,NBA,Houston Rockets,55,27,.671,—,104.0,99.8,Yes
1992/1993,NBA,San Antonio Spurs,49,33,.598,6.0,105.5,102.8,Yes
1992/1993,NBA,Utah Jazz,47,35,.573,8.0,106.2,104.0,Yes
1992/1993,NBA,Denver Nuggets,36,46,.439,19.0,105.2,106.9,No
1992/1993,NBA,Minnesota Timberwolves,19,63,.232,36.0,98.1,105.9,No
1992/1993,NBA,Dallas Mavericks,11,71,.134,44.0,99.3,114.5,No
1992/1993,NBA,Phoenix Suns,62,20,.756,—,113.4,106.7,Yes
1992/1993,NBA,Seattle SuperSonics,55,27,.671,7.0,108.3,101.3,Yes
1992/1993,NBA,Portland Trail Blazers,51,31,.622,11.0,108.5,105.4,Yes
1992/1993,NBA,Los Angeles Clippers,41,41,.500,21.0,107.1,106.8,Yes
1992/1993,NBA,Los Angeles Lakers,39,43,.476,23.0,104.2,105.5,Yes
1992/1993,NBA,Golden State Warriors,34,48,.415,28.0,109.9,110.9,No
1992/1993,NBA,Sacramento Kings,25,57,.305,37.0,107.9,111.1,No
1993/1994,NBA,New York Knicks,57,25,.695,—,98.5,91.5,Yes
1993/1994,NBA,Orlando Magic,50,32,.610,7.0,105.7,101.8,Yes
1993/1994,NBA,New Jersey Nets,45,37,.549,12.0,103.2,101.0,Yes
1993/1994,NBA,Miami Heat,42,40,.512,15.0,103.4,100.7,Yes
1993/1994,NBA,Boston Celtics,32,50,.390,25.0,100.8,105.1,No
1993/1994,NBA,Philadelphia 76ers,25,57,.305,32.0,98.0,105.6,No
1993/1994,NBA,Washington Bullets,24,58,.293,33.0,100.4,107.7,No
1993/1994,NBA,Atlanta Hawks,57,25,.695,—,101.4,96.2,Yes
1993/1994,NBA,Chicago Bulls,55,27,.671,2.0,98.0,94.9,Yes
1993/1994,NBA,Indiana Pacers,47,35,.573,10.0,101.0,97.5,Yes
1993/1994,NBA,Cleveland Cavaliers,47,35,.573,10.0,101.2,97.1,Yes
1993/1994,NBA,Charlotte Hornets,41,41,.500,16.0,106.5,106.7,No
1993/1994,NBA,Milwaukee Bucks,20,62,.244,37.0,96.9,103.4,No
1993/1994,NBA,Detroit Pistons,20,62,.244,37.0,96.9,104.7,No
1993/1994,NBA,Houston Rockets,58,24,.707,—,101.1,96.8,Yes
1993/1994,NBA,San Antonio Spurs,55,27,.671,3.0,100.0,94.8,Yes
1993/1994,NBA,Utah Jazz,53,29,.646,5.0,101.9,97.7,Yes
1993/1994,NBA,Denver Nuggets,42,40,.512,16.0,100.3,98.8,Yes
1993/1994,NBA,Minnesota Timberwolves,20,62,.244,38.0,96.7,103.6,No
1993/1994,NBA,Dallas Mavericks,13,69,.159,45.0,95.1,103.8,No
1993/1994,NBA,Seattle SuperSonics,63,19,.768,—,105.9,96.9,Yes
1993/1994,NBA,Phoenix Suns,56,26,.683,7.0,108.2,103.4,Yes
1993/1994,NBA,Golden State Warriors,50,32,.610,13.0,107.9,106.1,Yes
1993/1994,NBA,Portland Trail Blazers,47,35,.573,16.0,107.3,104.6,Yes
1993/1994,NBA,Los Angeles Lakers,33,49,.402,30.0,100.4,104.7,No
1993/1994,NBA,Sacramento Kings,28,54,.341,35.0,101.1,106.9,No
1993/1994,NBA,Los Angeles Clippers,27,55,.329,36.0,103.0,108.7,No
1994/1995,NBA,Orlando Magic,57,25,.695,—,110.9,103.8,Yes
1994/1995,NBA,New York Knicks,55,27,.671,2.0,98.2,95.1,Yes
1994/1995,NBA,Boston Celtics,35,47,.427,22.0,102.8,104.7,Yes
1994/1995,NBA,Miami Heat,32,50,.390,25.0,101.1,102.8,No
1994/1995,NBA,New Jersey Nets,30,52,.366,27.0,98.1,101.2,No
1994/1995,NBA,Philadelphia 76ers,24,58,.293,33.0,95.4,100.4,No
1994/1995,NBA,Washington Bullets,21,61,.256,36.0,100.5,106.1,No
1994/1995,NBA,Indiana Pacers,52,30,.634,—,99.2,95.5,Yes
1994/1995,NBA,Charlotte Hornets,50,32,.610,2.0,100.6,97.3,Yes
1994/1995,NBA,Chicago Bulls,47,35,.573,5.0,101.5,96.7,Yes
1994/1995,NBA,Cleveland Cavaliers,43,39,.524,9.0,90.5,89.8,Yes
1994/1995,NBA,Atlanta Hawks,42,40,.512,10.0,96.6,95.3,Yes
1994/1995,NBA,Milwaukee Bucks,34,48,.415,18.0,99.3,103.7,No
1994/1995,NBA,Detroit Pistons,28,54,.341,24.0,98.2,105.5,No
1994/1995,NBA,San Antonio Spurs,62,20,.756,—,106.6,100.6,Yes
1994/1995,NBA,Utah Jazz,60,22,.732,2.0,106.4,98.4,Yes
1994/1995,NBA,Houston Rockets,47,35,.573,15.0,103.5,101.4,Yes
1994/1995,NBA,Denver Nuggets,41,41,.500,21.0,101.3,100.5,Yes
1994/1995,NBA,Dallas Mavericks,36,46,.439,26.0,103.2,106.1,No
1994/1995,NBA,Minnesota Timberwolves,21,61,.256,41.0,94.2,103.2,No
1994/1995,NBA,Phoenix Suns,59,23,.720,—,110.6,106.8,Yes
1994/1995,NBA,Seattle SuperSonics,57,25,.695,2.0,110.4,102.2,Yes
1994/1995,NBA,Los Angeles Lakers,48,34,.585,11.0,105.1,105.3,Yes
1994/1995,NBA,Portland Trail Blazers,44,38,.537,15.0,103.1,99.2,Yes
1994/1995,NBA,Sacramento Kings,39,43,.476,20.0,98.2,99.2,No
1994/1995,NBA,Golden State Warriors,26,56,.317,33.0,105.7,111.1,No
1994/1995,NBA,Los Angeles Clippers,17,65,.207,42.0,96.7,105.8,No
1995/1996,NBA,Orlando Magic,60,22,.732,—,104.5,99.0,Yes
1995/1996,NBA,New York Knicks,47,35,.573,13.0,97.2,94.9,Yes
1995/1996,NBA,Miami Heat,42,40,.512,18.0,96.5,95.0,Yes
1995/1996,NBA,Washington Bullets,39,43,.476,21.0,102.5,101.5,No
1995/1996,NBA,Boston Celtics,33,49,.402,27.0,103.6,107.0,No
1995/1996,NBA,New Jersey Nets,30,52,.366,30.0,93.7,97.9,No
1995/1996,NBA,Philadelphia 76ers,18,64,.220,42.0,94.5,104.5,No
1995/1996,NBA,Chicago Bulls,72,10,.878,—,105.2,92.9,Yes
1995/1996,NBA,Indiana Pacers,52,30,.634,20.0,99.3,96.1,Yes
1995/1996,NBA,Cleveland Cavaliers,47,35,.573,25.0,91.1,88.5,Yes
1995/1996,NBA,Atlanta Hawks,46,36,.561,26.0,98.3,97.1,Yes
1995/1996,NBA,Detroit Pistons,46,36,.561,26.0,95.4,92.9,Yes
1995/1996,NBA,Charlotte Hornets,41,41,.500,31.0,102.8,103.4,No
1995/1996,NBA,Milwaukee Bucks,25,57,.305,47.0,95.6,100.9,No
1995/1996,NBA,Toronto Raptors,21,61,.256,51.0,97.5,105.0,No
1995/1996,NBA,San Antonio Spurs,59,23,.720,—,103.4,97.1,Yes
1995/1996,NBA,Utah Jazz,55,27,.671,4.0,102.5,95.9,Yes
1995/1996,NBA,Houston Rockets,48,34,.585,11.0,102.5,100.7,Yes
1995/1996,NBA,Denver Nuggets,35,47,.427,24.0,97.7,100.4,No
1995/1996,NBA,Minnesota Timberwolves,26,56,.317,33.0,97.9,103.2,No
1995/1996,NBA,Dallas Mavericks,26,56,.317,33.0,102.5,107.5,No
1995/1996,NBA,Vancouver Grizzlies,15,67,.183,44.0,89.8,99.8,No
1995/1996,NBA,Seattle SuperSonics,64,18,.780,—,104.5,96.7,Yes
1995/1996,NBA,Los Angeles Lakers,53,29,.646,11.0,102.9,98.5,Yes
1995/1996,NBA,Portland Trail Blazers,44,38,.537,20.0,99.3,97.0,Yes
1995/1996,NBA,Phoenix Suns,41,41,.500,23.0,104.3,104.0,Yes
1995/1996,NBA,Sacramento Kings,39,43,.476,25.0,99.5,102.3,Yes
1995/1996,NBA,Golden State Warriors,36,46,.439,28.0,101.6,103.1,No
1995/1996,NBA,Los Angeles Clippers,29,53,.354,35.0,99.4,103.0,No
1996/1997,NBA,Miami Heat,61,21,.744,—,94.8,89.3,Yes
1996/1997,NBA,New York Knicks,57,25,.695,4.0,95.4,92.2,Yes
1996/1997,NBA,Orlando Magic,45,37,.549,16.0,94.1,94.5,Yes
1996/1997,NBA,Washington Bullets,44,38,.537,17.0,99.4,97.7,Yes
1996/1997,NBA,New Jersey Nets,26,56,.317,35.0,97.2,101.8,No
1996/1997,NBA,Philadelphia 76ers,22,60,.268,39.0,100.2,106.7,No
1996/1997,NBA,Boston Celtics,15,67,.183,46.0,100.6,107.9,No
1996/1997,NBA,Chicago Bulls,69,13,.841,—,103.1,92.3,Yes
1996/1997,NBA,Atlanta Hawks,56,26,.683,13.0,94.8,89.4,Yes
1996/1997,NBA,Detroit Pistons,54,28,.659,15.0,94.2,88.9,Yes
1996/1997,NBA,Charlotte Hornets,54,28,.659,15.0,98.9,97.0,Yes
1996/1997,NBA,Cleveland Cavaliers,42,40,.512,27.0,87.5,85.6,No
1996/1997,NBA,Indiana Pacers,39,43,.476,30.0,95.4,94.4,No
1996/1997,NBA,Milwaukee Bucks,33,49,.402,36.0,95.3,97.2,No
1996/1997,NBA,Toronto Raptors,30,52,.366,39.0,95.5,98.6,No
1996/1997,NBA,Utah Jazz,64,18,.780,—,103.1,94.3,Yes
1996/1997,NBA,Houston Rockets,57,25,.695,7.0,100.6,96.1,Yes
1996/1997,NBA,Minnesota Timberwolves,40,42,.488,24.0,96.1,97.6,Yes
1996/1997,NBA,Dallas Mavericks,24,58,.293,40.0,90.6,97.0,No
1996/1997,NBA,Denver Nuggets,21,61,.256,43.0,97.8,104.1,No
1996/1997,NBA,San Antonio Spurs,20,62,.244,44.0,90.5,98.3,No
1996/1997,NBA,Vancouver Grizzlies,14,68,.171,50.0,89.2,99.4,No
1996/1997,NBA,Seattle SuperSonics,57,25,.695,—,100.9,93.2,Yes
1996/1997,NBA,Los Angeles Lakers,56,26,.683,1.0,100.0,95.7,Yes
1996/1997,NBA,Portland Trail Blazers,49,33,.598,8.0,99.0,94.8,Yes
1996/1997,NBA,Phoenix Suns,40,42,.488,17.0,102.8,102.2,Yes
1996/1997,NBA,Los Angeles Clippers,36,46,.439,21.0,97.2,99.5,Yes
1996/1997,NBA,Sacramento Kings,34,48,.415,23.0,96.4,99.8,No
1996/1997,NBA,Golden State Warriors,30,52,.366,27.0,99.6,104.4,No
1996/1997,WNBA,Houston Comets,18,10,.643,—,71.8,65.5,Yes
1996/1997,WNBA,New York Liberty,17,11,.607,1.0,68.3,65.9,Yes
1996/1997,WNBA,Charlotte Sting,15,13,.536,3.0,67.3,66.0,Yes
1996/1997,WNBA,Cleveland Rockers,15,13,.536,3.0,70.2,68.4,No
1996/1997,WNBA,Phoenix Mercury,16,12,.571,—,69.2,65.2,Yes
1996/1997,WNBA,Los Angeles Sparks,14,14,.500,2.0,74.0,71.8,No
1996/1997,WNBA,Sacramento Monarchs,10,18,.357,6.0,67.9,75.4,No
1996/1997,WNBA,Utah Starzz,7,21,.250,9.0,64.6,75.1,No
1997/1998,NBA,Miami Heat,55,27,.671,—,95.0,90.0,Yes
1997/1998,NBA,New York Knicks,43,39,.524,12.0,91.6,89.1,Yes
1997/1998,NBA,New Jersey Nets,43,39,.524,12.0,99.6,98.1,Yes
1997/1998,NBA,Washington Wizards,42,40,.512,13.0,97.2,96.6,No
1997/1998,NBA,Orlando Magic,41,41,.500,14.0,90.1,91.2,No
1997/1998,NBA,Boston Celtics,36,46,.439,19.0,95.9,98.5,No
1997/1998,NBA,Philadelphia 76ers,31,51,.378,24.0,93.3,95.7,No
1997/1998,NBA,Chicago Bulls,62,20,.756,—,96.7,89.6,Yes
1997/1998,NBA,Indiana Pacers,58,24,.707,4.0,96.0,89.9,Yes
1997/1998,NBA,Charlotte Hornets,51,31,.622,11.0,96.6,94.6,Yes
1997/1998,NBA,Atlanta Hawks,50,32,.610,12.0,95.9,92.3,Yes
1997/1998,NBA,Cleveland Cavaliers,47,35,.573,15.0,92.5,89.8,Yes
1997/1998,NBA,Detroit Pistons,37,45,.451,25.0,94.2,92.6,No
1997/1998,NBA,Milwaukee Bucks,36,46,.439,26.0,94.5,96.4,No
1997/1998,NBA,Toronto Raptors,16,66,.195,46.0,94.9,104.2,No
1997/1998,NBA,Utah Jazz,62,20,.756,—,101.0,94.4,Yes
1997/1998,NBA,San Antonio Spurs,56,26,.683,6.0,92.5,88.5,Yes
1997/1998,NBA,Minnesota Timberwolves,45,37,.549,17.0,101.1,100.4,Yes
1997/1998,NBA,Houston Rockets,41,41,.500,21.0,98.8,99.5,Yes
1997/1998,NBA,Dallas Mavericks,20,62,.244,42.0,91.4,97.5,No
1997/1998,NBA,Vancouver Grizzlies,19,63,.232,43.0,96.6,103.9,No
1997/1998,NBA,Denver Nuggets,11,71,.134,51.0,89.0,100.8,No
1997/1998,NBA,Seattle SuperSonics,61,21,.744,—,100.6,93.4,Yes
1997/1998,NBA,Los Angeles Lakers,61,21,.744,—,105.5,97.8,Yes
1997/1998,NBA,Phoenix Suns,56,26,.683,5.0,99.6,94.4,Yes
1997/1998,NBA,Portland Trail Blazers,46,36,.561,15.0,94.3,92.9,Yes
1997/1998,NBA,Sacramento Kings,27,55,.329,34.0,93.1,98.7,No
1997/1998,NBA,Golden State Warriors,19,63,.232,42.0,88.3,97.4,No
1997/1998,NBA,Los Angeles Clippers,17,65,.207,44.0,95.9,103.3,No
1997/1998,WNBA,Cleveland Rockers,20,10,.667,—,73.2,70.3,Yes
1997/1998,WNBA,Charlotte Sting,18,12,.600,2.0,71.4,68.4,Yes
1997/1998,WNBA,New York Liberty,18,12,.600,2.0,68.6,65.5,No
1997/1998,WNBA,Detroit Shock,17,13,.567,3.0,69.6,69.3,No
1997/1998,WNBA,Washington Mystics,3,27,.100,17.0,65.1,80.5,No
1997/1998,WNBA,Houston Comets,27,3,.900,—,76.2,63.6,Yes
1997/1998,WNBA,Phoenix Mercury,19,11,.633,8.0,73.9,67.5,Yes
1997/1998,WNBA,Los Angeles Sparks,12,18,.400,15.0,71.6,72.3,No
1997/1998,WNBA,Sacramento Monarchs,8,22,.267,19.0,63.9,69.4,No
1997/1998,WNBA,Utah Starzz,8,22,.267,19.0,69.8,76.5,No
1998/1999,NBA,Miami Heat,33,17,.660,—,89.0,84.0,Yes
1998/1999,NBA,Orlando Magic,33,17,.660,—,89.5,86.9,Yes
1998/1999,NBA,Philadelphia 76ers,28,22,.560,5.0,89.7,87.6,Yes
1998/1999,NBA,New York Knicks,27,23,.540,6.0,86.4,85.4,Yes
1998/1999,NBA,Boston Celtics,19,31,.380,14.0,93.0,94.9,No
1998/1999,NBA,Washington Wizards,18,32,.360,15.0,91.2,93.4,No
1998/1999,NBA,New Jersey Nets,16,34,.320,17.0,91.4,95.2,No
1998/1999,NBA,Indiana Pacers,33,17,.660,—,94.7,90.9,Yes
1998/1999,NBA,Atlanta Hawks,31,19,.620,2.0,86.3,83.4,Yes
1998/1999,NBA,Detroit Pistons,29,21,.580,4.0,90.4,86.9,Yes
1998/1999,NBA,Milwaukee Bucks,28,22,.560,5.0,91.7,90.0,Yes
1998/1999,NBA,Charlotte Hornets,26,24,.520,7.0,92.9,93.0,No
1998/1999,NBA,Toronto Raptors,23,27,.460,10.0,91.1,92.8,No
1998/1999,NBA,Cleveland Cavaliers,22,28,.440,11.0,86.4,88.2,No
1998/1999,NBA,Chicago Bulls,13,37,.260,20.0,81.9,91.4,No
1998/1999,NBA,San Antonio Spurs,37,13,.740,—,92.8,84.7,Yes
1998/1999,NBA,Utah Jazz,37,13,.740,—,93.3,86.8,Yes
1998/1999,NBA,Houston Rockets,31,19,.620,6.0,94.2,91.9,Yes
1998/1999,NBA,Minnesota Timberwolves,25,25,.500,12.0,92.9,92.6,Yes
1998/1999,NBA,Dallas Mavericks,19,31,.380,18.0,91.6,94.0,No
1998/1999,NBA,Denver Nuggets,14,36,.280,23.0,93.5,100.1,No
1998/1999,NBA,Vancouver Grizzlies,8,42,.160,29.0,88.9,97.5,No
1998/1999,NBA,Portland Trail Blazers,35,15,.700,—,94.8,88.5,Yes
1998/1999,NBA,Los Angeles Lakers,31,19,.620,4.0,99.0,96.0,Yes
1998/1999,NBA,Phoenix Suns,27,23,.540,8.0,95.6,93.3,Yes
1998/1999,NBA,Sacramento Kings,27,23,.540,8.0,100.2,100.6,Yes
1998/1999,NBA,Seattle SuperSonics,25,25,.500,10.0,94.9,95.9,No
1998/1999,NBA,Golden State Warriors,21,29,.420,14.0,88.3,90.8,No
1998/1999,NBA,Los Angeles Clippers,9,41,.180,26.0,90.4,99.2,No
1998/1999,WNBA,New York Liberty,18,14,.563,—,67.8,65.3,Yes
1998/1999,WNBA,Charlotte Sting,15,17,.469,3.0,65.8,66.9,Yes
1998/1999,WNBA,Detroit Shock,15,17,.469,3.0,70.0,72.0,Yes
1998/1999,WNBA,Orlando Miracle,15,17,.469,3.0,68.9,69.3,No
1998/1999,WNBA,Washington Mystics,12,20,.375,6.0,65.6,70.2,No
1998/1999,WNBA,Cleveland Rockers,7,25,.219,11.0,62.9,69.3,No
1998/1999,WNBA,Houston Comets,26,6,.813,—,74.0,64.7,Yes
1998/1999,WNBA,Los Angeles Sparks,20,12,.625,6.0,76.5,72.4,Yes
1998/1999,WNBA,Sacramento Monarchs,19,13,.594,7.0,74.8,70.6,Yes
1998/1999,WNBA,Minnesota Lynx,15,17,.469,11.0,63.6,66.0,No
1998/1999,WNBA,Phoenix Mercury,15,17,.469,11.0,68.0,68.2,No
1998/1999,WNBA,Utah Starzz,15,17,.469,11.0,74.0,77.1,No
1999/2000,NBA,Miami Heat,52,30,.634,—,94.4,91.3,Yes
1999/2000,NBA,New York Knicks,50,32,.610,2.0,92.1,90.7,Yes
1999/2000,NBA,Philadelphia 76ers,49,33,.598,3.0,94.8,93.4,Yes
1999/2000,NBA,Orlando Magic,41,41,.500,11.0,100.1,99.4,No
1999/2000,NBA,Boston Celtics,35,47,.427,17.0,99.3,100.1,No
1999/2000,NBA,New Jersey Nets,31,51,.378,21.0,98.0,99.0,No
1999/2000,NBA,Washington Wizards,29,53,.354,23.0,96.6,99.9,No
1999/2000,NBA,Indiana Pacers,56,26,.683,—,101.3,96.7,Yes
1999/2000,NBA,Charlotte Hornets,49,33,.598,7.0,98.4,95.8,Yes
1999/2000,NBA,Toronto Raptors,45,37,.549,11.0,97.2,97.3,Yes
1999/2000,NBA,Detroit Pistons,42,40,.512,14.0,103.5,102.0,Yes
1999/2000,NBA,Milwaukee Bucks,42,40,.512,14.0,101.2,101.0,Yes
1999/2000,NBA,Cleveland Cavaliers,32,50,.390,24.0,97.0,100.5,No
1999/2000,NBA,Atlanta Hawks,28,54,.341,28.0,94.3,99.7,No
1999/2000,NBA,Chicago Bulls,17,65,.207,39.0,84.8,94.2,No
1999/2000,NBA,Utah Jazz,55,27,.671,—,96.5,92.0,Yes
1999/2000,NBA,San Antonio Spurs,53,29,.646,2.0,96.2,90.2,Yes
1999/2000,NBA,Minnesota Timberwolves,50,32,.610,5.0,98.5,96.0,Yes
1999/2000,NBA,Dallas Mavericks,40,42,.488,15.0,101.4,102.0,No
1999/2000,NBA,Denver Nuggets,35,47,.427,20.0,99.0,101.1,No
1999/2000,NBA,Houston Rockets,34,48,.415,21.0,99.5,100.3,No
1999/2000,NBA,Vancouver Grizzlies,22,60,.268,33.0,93.9,99.5,No
1999/2000,NBA,Los Angeles Lakers,67,15,.817,—,100.8,92.3,Yes
1999/2000,NBA,Portland Trail Blazers,59,23,.720,8.0,97.5,91.0,Yes
1999/2000,NBA,Phoenix Suns,53,29,.646,14.0,98.9,93.7,Yes
1999/2000,NBA,Seattle SuperSonics,45,37,.549,22.0,99.1,98.1,Yes
1999/2000,NBA,Sacramento Kings,44,38,.537,23.0,105.0,102.0,Yes
1999/2000,NBA,Golden State Warriors,19,63,.232,48.0,95.5,103.8,No
1999/2000,NBA,Los Angeles Clippers,15,67,.183,52.0,92.0,103.5,No
1999/2000,WNBA,New York Liberty,20,12,.625,—,67.1,63.6,Yes
1999/2000,WNBA,Cleveland Rockers,17,15,.531,3.0,68.3,66.3,Yes
1999/2000,WNBA,Orlando Miracle,16,16,.500,4.0,69.0,69.8,Yes
1999/2000,WNBA,Washington Mystics,14,18,.438,6.0,68.0,69.4,Yes
1999/2000,WNBA,Detroit Shock,14,18,.438,6.0,72.8,75.8,No
1999/2000,WNBA,Miami Sol,13,19,.406,7.0,57.2,62.5,No
1999/2000,WNBA,Indiana Fever,9,23,.281,11.0,69.2,71.6,No
1999/2000,WNBA,Charlotte Sting,8,24,.250,12.0,68.3,75.9,No
1999/2000,WNBA,Los Angeles Sparks,28,4,.875,—,75.5,67.8,Yes
1999/2000,WNBA,Houston Comets,27,5,.844,1.0,77.3,64.6,Yes
1999/2000,WNBA,Sacramento Monarchs,21,11,.656,7.0,73.2,68.0,Yes
1999/2000,WNBA,Phoenix Mercury,20,12,.625,8.0,70.1,65.7,Yes
1999/2000,WNBA,Utah Starzz,18,14,.563,10.0,75.4,75.2,No
1999/2000,WNBA,Minnesota Lynx,15,17,.469,13.0,68.5,68.4,No
1999/2000,WNBA,Portland Fire,10,22,.313,18.0,67.3,72.0,No
1999/2000,WNBA,Seattle Storm,6,26,.188,22.0,56.9,67.8,No
2000/2001,NBA,Philadelphia 76ers,56,26,.683,—,94.7,90.4,Yes
2000/2001,NBA,Miami Heat,50,32,.610,6.0,88.9,86.6,Yes
2000/2001,NBA,New York Knicks,48,34,.585,8.0,88.7,86.1,Yes
2000/2001,NBA,Orlando Magic,43,39,.524,13.0,97.5,96.5,Yes
2000/2001,NBA,Boston Celtics,36,46,.439,20.0,94.6,96.8,No
2000/2001,NBA,New Jersey Nets,26,56,.317,30.0,92.1,97.1,No
2000/2001,NBA,Washington Wizards,19,63,.232,37.0,93.2,99.9,No
2000/2001,NBA,Milwaukee Bucks,52,30,.634,—,100.7,96.9,Yes
2000/2001,NBA,Toronto Raptors,47,35,.573,5.0,97.6,95.4,Yes
2000/2001,NBA,Charlotte Hornets,46,36,.561,6.0,91.9,89.8,Yes
2000/2001,NBA,Indiana Pacers,41,41,.500,11.0,92.6,92.8,Yes
2000/2001,NBA,Detroit Pistons,32,50,.390,20.0,95.6,97.3,No
2000/2001,NBA,Cleveland Cavaliers,30,52,.366,22.0,92.2,96.5,No
2000/2001,NBA,Atlanta Hawks,25,57,.305,27.0,91.0,96.2,No
2000/2001,NBA,Chicago Bulls,15,67,.183,37.0,87.6,96.7,No
2000/2001,NBA,San Antonio Spurs,58,24,.707,—,96.2,88.4,Yes
2000/2001,NBA,Utah Jazz,53,29,.646,5.0,97.1,92.4,Yes
2000/2001,NBA,Dallas Mavericks,53,29,.646,5.0,100.5,96.2,Yes
2000/2001,NBA,Minnesota Timberwolves,47,35,.573,11.0,97.3,96.0,Yes
2000/2001,NBA,Houston Rockets,45,37,.549,13.0,97.2,94.9,No
2000/2001,NBA,Denver Nuggets,40,42,.488,18.0,96.6,99.0,No
2000/2001,NBA,Vancouver Grizzlies,23,59,.280,35.0,91.7,97.5,No
2000/2001,NBA,Los Angeles Lakers,56,26,.683,—,100.6,97.2,Yes
2000/2001,NBA,Sacramento Kings,55,27,.671,1.0,101.7,95.9,Yes
2000/2001,NBA,Phoenix Suns,51,31,.622,5.0,94.0,91.8,Yes
2000/2001,NBA,Portland Trail Blazers,50,32,.610,6.0,95.4,91.2,Yes
2000/2001,NBA,Seattle SuperSonics,44,38,.537,12.0,97.3,97.3,No
2000/2001,NBA,Los Angeles Clippers,31,51,.378,25.0,92.5,95.3,No
2000/2001,NBA,Golden State Warriors,17,65,.207,39.0,92.5,101.5,No
2000/2001,WNBA,Cleveland Rockers,22,10,.688,—,62.6,55.9,Yes
2000/2001,WNBA,New York Liberty,21,11,.656,1.0,67.6,65.1,Yes
2000/2001,WNBA,Miami Sol,20,12,.625,2.0,61.2,59.3,Yes
2000/2001,WNBA,Charlotte Sting,18,14,.563,4.0,64.2,62.8,Yes
2000/2001,WNBA,Orlando Miracle,13,19,.406,9.0,66.9,68.9,No
2000/2001,WNBA,Detroit Shock,10,22,.313,12.0,65.7,70.9,No
2000/2001,WNBA,Indiana Fever,10,22,.313,12.0,67.3,70.3,No
2000/2001,WNBA,Washington Mystics,10,22,.313,12.0,60.3,64.8,No
2000/2001,WNBA,Los Angeles Sparks,28,4,.875,—,76.3,67.7,Yes
2000/2001,WNBA,Sacramento Monarchs,20,12,.625,8.0,71.7,66.8,Yes
2000/2001,WNBA,Houston Comets,19,13,.594,9.0,64.0,62.3,Yes
2000/2001,WNBA,Utah Starzz,19,13,.594,9.0,69.0,68.5,Yes
2000/2001,WNBA,Phoenix Mercury,13,19,.406,15.0,64.5,67.8,No
2000/2001,WNBA,Minnesota Lynx,12,20,.375,16.0,64.9,67.4,No
2000/2001,WNBA,Portland Fire,11,21,.344,17.0,65.3,68.8,No
2000/2001,WNBA,Seattle Storm,10,22,.313,18.0,60.0,64.0,No
2001/2002,NBA,New Jersey Nets,52,30,.634,—,96.2,92.0,Yes
